raw_id,source,raw_text
RAW001,客服工单,这PDF导出后图表都挤在一起了，根本没法给领导看。
RAW002,数据分析师反馈,昨天导出的数据和仪表盘上显示的对不上，差了几个百分点。
RAW003,续费沟通记录,说实话，除了基础看板，我们没怎么用到那些高级功能，性价比感觉一般。
RAW004,IT部门反馈,数据库连接池配置太复杂了，文档写得也不清楚。
RAW005,问卷,仪表盘加载速度时快时慢，很不稳定。
RAW006,客服工单,Excel导出失败，报错代码是XXX，啥意思？
RAW007,数据分析师反馈,这个聚合逻辑不对啊，明明应该是求和，怎么变成计数了？
RAW008,问卷,挺好用的，帮我们省了不少手动做表的时间。
RAW009,续费沟通记录,你们这个续费价格涨了，但产品功能感觉没太大提升啊。
RAW010,客服工单,我想在仪表盘里加个自定义筛选器，怎么弄？
RAW011,IT部门反馈,与我们内部自研系统的单点登录（SSO）集成一直没成功，技术支持响应也慢。
RAW012,问卷,图表样式太少，不够美观，和我们品牌调性不符。
RAW013,数据分析师反馈,跨数据源关联查询性能太差，等一个结果要好几分钟。
RAW014,客服工单,导出的CSV文件打开是乱码。
RAW015,续费沟通记录,我们主要用它来看销售数据，其他业务部门用不起来，价值有点窄。
RAW016,客服工单,那个仪表盘的权限管理太粗了，不能按部门细分。
RAW017,数据分析师反馈,数据刷新后，之前设置的过滤条件没了，很烦。
RAW018,问卷,自助建模对业务人员来说还是太难了。
RAW019,IT部门反馈,系统资源占用高，大屏播放的时候服务器CPU经常飙到90%以上。
RAW020,客服工单,导出PPT的时候，图表上的标签显示不全。
RAW021,数据分析师反馈,同RAW002，昨天又遇到数据偏差，这次是累计客户数不对。
RAW022,续费沟通记录,你们的竞品最近推了一个类似功能，但价格便宜30%，你们有什么应对？
RAW023,问卷,地图可视化太简单了，只能显示点，不能做热力图或者区域填充。
RAW024,客服工单,怎么导出高清图片？打印出来很模糊。
RAW025,IT部门反馈,API文档不完整，对接起来很费劲。
RAW026,数据分析师反馈,那个同比环比的计算，遇到节假日调休的时候就乱了，你们算法有问题。
RAW027,问卷,可以增加更多数据源连接器吗？比如连我们现在用的Snowflake。
RAW028,客服工单,我想把几张表的数据合并到一起导出，能实现吗？
