raw_id,source,raw_text
RAW001,客服工单,你们那个续费按钮在哪啊？我找了半小时都没找到，太坑了。
RAW002,销售转述,客户觉得这个价钱太高了，续不起，问有没有折扣。
RAW003,微信群,新买的服务器怎么激活啊？教程看不懂，急死了。
RAW004,用户访谈,我觉得你们这个AI回答不准，上次问个专业问题，它给我瞎扯。
RAW005,问卷,报表功能太基础了，无法满足我们数据分析的需求，考虑换工具。
RAW006,App评论,购物车总是刷新失败，付不了款，差评！
RAW007,客服工单,登不上去了，账号密码都没错，是不是你们系统又崩了？
RAW008,销售转述,老板说，如果下个版本还是这么卡，我们就不续约了。
RAW009,客户成功,用户反馈，激活流程步骤太多，很繁琐，流失率高。
RAW010,微信群,这个BI工具的图表颜色太丑了，能自定义吗？
RAW011,问卷,响应慢。
RAW012,老板转述,行政部说，自从用了你们的内部系统，电费降了一半，不错。
RAW013,运营记录,商品详情页的“加入购物车”按钮在手机上太小了，用户点不到。
RAW014,用户访谈,你们那个AI助手，有时候说话像机器人，能不能更自然点？
RAW015,客服工单,续费到期了，但我没收到任何提醒，差点耽误事。
RAW016,销售转述,客户说，功能是挺好用，但是授权太贵了，一个工位要XXX。
RAW017,微信群,数据导出功能坏了，整了半天，啥也没导出来。
RAW018,App评论,界面设计得很棒，用起来很舒服！五星好评！
RAW019,客户成功,新注册用户超过一半卡在邮箱验证这一步，激活率很低。
RAW020,问卷,你们服务器是不是在海外？访问速度太慢了。
RAW021,客服工单,我要退款！买的时候说的天花乱坠，根本不是那么回事。
RAW022,销售转述,客户试用后觉得，AI生成报告的质量还不如实习生写的。
RAW023,微信群,怎么给新员工开账号？管理后台找不到。
RAW024,用户访谈,那个BI仪表盘加载要好久，等的人心烦。
RAW025,问卷,支付失败。
RAW026,老板转述,财务部觉得，用了这个系统后，报销流程确实简化了，降本了。
RAW027,客服工单,为什么我账户里还有三个月时长，就提示我要续费了？是不是算错了？
RAW028,App评论,今天下单居然失败了，什么鬼？
RAW029,客户成功,用户抱怨，开通功能后没有引导，自己摸索太浪费时间。
RAW030,微信群,报表里这个数字跟我们自己算的对不上啊，数据源有问题吧？
RAW031,销售转述,客户觉得性价比不高，打算看看别家。
RAW032,用户访谈,AI理解能力不行，我问‘如何提升复购率’，它给我讲了一堆市场营销理论。
RAW033,问卷,系统经常无故闪退。
RAW034,客服工单,发票开错了，重开一下。
RAW035,运营记录,用户反馈，搜索商品的结果排序很奇怪，不相关商品排在前面。
RAW036,微信群,续费能不能开发票？急用。
RAW037,老板转述,IT部门说，这个内部运维系统帮他们省了不少人力，挺好。
RAW038,App评论,挺好的，用了半年没出过问题。
RAW039,客户成功,多个客户反馈，激活后初始设置模板不符合国内习惯。
RAW040,销售转述,客户说，主要就是贵，功能其实还行。
RAW041,客服工单,我的账号怎么被锁定了？没人动过啊。
RAW042,微信群,今天这个促销活动，商品价格显示不出来，白搞了。
RAW043,用户访谈,你们那个数据分析工具，学起来门槛太高了，培训成本也不低。
RAW044,问卷,客服响应慢，打电话永远在排队。
RAW045,运营记录,有用户留言，说把你们产品推荐给了朋友，挺好用的。
RAW046,客服工单,续费后，新功能怎么没解锁？还是老界面。
RAW047,销售转述,客户觉得AI生成的文案没法直接用，还得人工大改。
RAW048,微信群,我们公司用的竞品，都能一键生成周报，你们这啥时候能有？
RAW049,老板转述,市场部说，用了这个电商后台，转化率确实提高了10%。
RAW050,客户成功,用户反馈，激活链接过期太快，一次没点开就失效了。
RAW051,问卷,界面太丑了，看着就不想用。
RAW052,App评论,物流信息更新不及时，我都不知道货到哪了。
RAW053,客服工单,我要改绑手机，老手机收不到验证码了。
