raw_id,source,raw_text
RAW001,客服工单,产品不错，继续加油。
RAW002,微信群,今天心情好，反馈一下。
RAW003,App评论,这个系统真棒！
RAW004,问卷,无所谓了。
RAW005,销售转述,希望未来更好。
RAW006,用户访谈,乱码：asdfgh
RAW007,运营记录,挺方便的。
RAW008,客户成功,不知道说什么。
RAW009,老板转述,哈哈，随便看看。
RAW010,App评论,功能强大，喜欢。
RAW011,客服工单,续费太贵了，不划算。
RAW012,销售转述,销售说客户觉得功能不够用。
RAW013,微信群,客服服务差，续费考虑中。
RAW014,用户访谈,功能没更新，不想续了。
RAW015,问卷,合同条款不合理。
RAW016,App评论,价格比竞品高。
RAW017,客户成功,续费流程太复杂。
RAW018,运营记录,用户反馈系统慢。
RAW019,客服工单,技术支持响应慢。
RAW020,销售转述,功能缺失，不满足需求。
RAW021,微信群,界面老旧，需要升级。
RAW022,用户访谈,数据安全担忧。
RAW023,问卷,培训不足，不会用。
RAW024,App评论,集成问题多。
RAW025,老板转述,续费提醒太频繁。
RAW026,客户成功,价格透明度低。
RAW027,运营记录,客户服务态度差。
RAW028,客服工单,功能bug多。
RAW029,销售转述,竞品有更好的功能。
RAW030,微信群,续费成本增加，预算紧张。
RAW031,客服工单,新用户注册老是失败。
RAW032,销售转述,销售说客户觉得初始设置太麻烦。
RAW033,微信群,激活流程太长了。
RAW034,用户访谈,不知道怎么开始用。
RAW035,问卷,注册时要求太多信息。
RAW036,App评论,激活后功能锁着，不懂。
RAW037,客户成功,培训视频看不懂。
RAW038,运营记录,激活后没引导，懵了。
RAW039,客服工单,邮箱验证收不到。
RAW040,销售转述,客户说激活步骤太复杂。
RAW041,微信群,新手指南没帮助。
RAW042,用户访谈,激活后界面不友好。
RAW043,问卷,注册过程卡顿。
RAW044,App评论,激活后找不到功能入口。
RAW045,老板转述,老板说新用户流失多。
RAW046,客户成功,初始设置出错率高。
RAW047,运营记录,激活邮件延迟。
RAW048,客服工单,注册表单有问题。
RAW049,销售转述,销售反馈激活后用户不活跃。
RAW050,微信群,激活流程不直观。
RAW051,客服工单,AI推荐不准，老是出错。
RAW052,销售转述,销售说客户觉得AI功能鸡肋。
RAW053,微信群,AI回答太慢了。
RAW054,用户访谈,AI界面复杂，不会用。
RAW055,问卷,AI识别错误多。
RAW056,App评论,AI功能不稳定，老是崩溃。
RAW057,客户成功,AI训练数据不足。
RAW058,运营记录,AI反馈不及时。
RAW059,客服工单,AI建议没用，太泛。
RAW060,销售转述,客户抱怨AI体验差。
RAW061,微信群,AI学习曲线太陡。
RAW062,用户访谈,AI自动化程度低。
RAW063,问卷,AI响应不准确。
RAW064,App评论,AI功能多余，不实用。
RAW065,老板转述,老板说AI产品需要改进。
RAW066,客户成功,AI集成困难。
RAW067,运营记录,AI更新后更差了。
RAW068,客服工单,AI预测失败。
RAW069,销售转述,销售说AI功能不满足业务需求。
RAW070,微信群,AI界面丑，体验差。
RAW071,客服工单,数据工具续费太贵。
RAW072,销售转述,销售说客户觉得报表功能弱。
RAW073,微信群,BI工具学习成本高。
RAW074,用户访谈,数据可视化不好。
RAW075,问卷,报表生成慢。
RAW076,App评论,数据导入问题多。
RAW077,客户成功,BI工具功能过时。
RAW078,运营记录,数据准确性担忧。
RAW079,客服工单,报表定制困难。
RAW080,销售转述,客户说BI工具不划算。
RAW081,微信群,数据工具界面混乱。
RAW082,用户访谈,BI工具更新慢。
RAW083,问卷,数据导出格式少。
RAW084,App评论,BI工具支持差。
RAW085,老板转述,老板说数据工具成本高。
RAW086,客户成功,数据工具集成问题。
RAW087,运营记录,报表加载慢。
RAW088,客服工单,BI工具续费提醒烦人。
RAW089,销售转述,销售反馈BI工具用户满意度低。
RAW090,微信群,数据工具功能少。
RAW091,客服工单,购物车老是清空。
RAW092,销售转述,销售说客户觉得支付失败多。
RAW093,微信群,产品推荐不准。
RAW094,用户访谈,结账流程复杂。
RAW095,问卷,页面加载慢，弃单率高。
RAW096,App评论,优惠券用不了。
RAW097,客户成功,库存显示不准。
RAW098,运营记录,客服响应慢，影响购买。
RAW099,客服工单,支付方式少。
RAW100,销售转述,客户抱怨物流信息更新慢。
RAW101,微信群,产品描述不清。
RAW102,用户访谈,注册后没转化，浪费。
RAW103,问卷,推荐算法不智能。
RAW104,App评论,结账时出错。
RAW105,老板转述,老板说电商转化率低。
RAW106,客服工单,内部系统太慢，效率低。
RAW107,销售转述,销售说客户觉得系统维护成本高。
RAW108,微信群,系统界面老旧，不友好。
RAW109,用户访谈,数据迁移问题多。
RAW110,问卷,系统集成困难。
RAW111,App评论,内部工具bug多。
RAW112,客户成功,系统培训不足。
RAW113,运营记录,系统响应延迟。
RAW114,客服工单,内部系统更新频繁，影响工作。
RAW115,销售转述,客户反馈系统不划算。
RAW116,微信群,系统功能少，满足不了需求。
RAW117,用户访谈,系统操作复杂。
RAW118,问卷,内部工具成本高。
RAW119,App评论,系统支持差。
RAW120,老板转述,老板说内部系统需要降本。
