raw_id,source,raw_text
RAW001,App评论,下单按钮点了没反应，啥情况？
RAW002,客服工单,地址总是保存失败，烦死了。
RAW003,用户反馈,结算页面太复杂了，看不懂。
RAW004,NPS,购物车里的商品删不掉。
RAW005,运营数据,选择支付方式时卡住了。
RAW006,竞品分析,订单确认页面加载慢。
RAW007,App评论,优惠码输入框在哪里？
RAW008,客服工单,填写发票信息太麻烦。
RAW009,用户反馈,下单后没有收到确认邮件。
RAW010,NPS,手机下单总是跳回首页。
RAW011,运营数据,商品库存显示有货，但下单说没库存。
RAW012,竞品分析,保存的地址默认不正确。
RAW013,App评论,结账时要求登录，但我已经登录了，好烦。
RAW014,客服工单,下单步骤太多，能不能简化？每次都要填一堆信息，浪费时间。
RAW015,用户反馈,订单备注框不显示。
RAW016,NPS,选择配送时间时出错。
RAW017,运营数据,下单按钮颜色不明显，找不到。
RAW018,竞品分析,商品规格选择后不更新价格。
RAW019,App评论,下单过程中页面刷新丢失数据，白忙活。
RAW020,客服工单,提交订单时提示网络错误。
RAW021,用户反馈,结算页面广告太多，干扰操作。
RAW022,NPS,无法使用礼品卡支付。
RAW023,运营数据,下单后商品从购物车消失但订单未生成，太坑了。
RAW024,竞品分析,结账时邮费计算不准确，和显示的不一样。
RAW025,App评论,手机端下单流程和电脑端不一致，有时候在手机上添加商品后，电脑端购物车没更新，导致重复下单或漏单，很麻烦。
RAW026,客服工单,支付一直失败，急死了！
RAW027,用户反馈,信用卡扣款了但订单没确认。
RAW028,NPS,支付宝支付跳转失败。
RAW029,运营数据,微信支付二维码扫不了。
RAW030,竞品分析,支付页面空白，啥也不显示。
RAW031,App评论,支付密码输入错误，但无法重试。
RAW032,客服工单,银行短信验证码收不到。
RAW033,用户反馈,支付超时，订单被取消。
RAW034,NPS,使用优惠券后支付失败。
RAW035,运营数据,支付金额和显示不一致，差几毛钱。
RAW036,竞品分析,支付成功但订单状态还是待支付。
RAW037,App评论,海外信用卡不支持，不方便。
RAW038,客服工单,支付过程中App闪退，钱扣了没订单，联系客服等好久。
RAW039,用户反馈,提示支付失败，但钱已扣，这是怎么回事？
RAW040,NPS,无法选择分期付款。
