raw_id,source,raw_text
RAW001,客服工单,你们这个后台系统也太慢了，点一下要转半天圈圈，啥玩意儿啊。
RAW002,销售转述,销售说，客户觉得界面太复杂了，找不到想要的数据，希望能简化一下。
RAW003,微信群,@所有人 续费价格又涨了？这还让不让人用了，我们小公司真的负担不起了。
RAW004,用户访谈,我觉得吧，你们那个智能推荐，有时候推荐出来的东西根本不相关，有点鸡肋。
RAW005,问卷,一般般，没什么特别的感觉。
RAW006,App评论,五星好评！客服响应很快，问题解决了，赞一个。而且加载速度特别慢，每次翻页都要等好几秒，严重影响工作效率，已经跟客服反馈过好几次了，一直没改善，真的很失望。
RAW007,客服工单,系统反应迟钝，卡得不行，严重影响我们工作。
RAW008,客户成功,客户A反复强调，如果明年续费价格还是这么高，他们就得考虑换别家了。
RAW009,微信群,那个导出报表的功能，导出来数字和图表对不上，数据全乱了，老板骂死我了。
RAW010,销售转述,客户反馈说，我们那个新上的AI客服，听不懂人话，转人工又等太久。
RAW011,用户访谈,激活流程太麻烦了，要填一堆信息，还要等审核，我们急用啊。
RAW012,老板转述,隔壁部门老王说，他们用的另一个系统比咱们这个便宜一半，功能还差不多。
RAW013,客服工单,加载速度堪忧，每次刷新都要等。
RAW014,问卷,价格太高了，性价比低。
RAW015,微信群,有没有人遇到同样的问题？我这边数据看板打不开，一片空白。
RAW016,运营记录,多位用户反馈首页加载缓慢，技术部需排查。我们老板已经明确说了，如果下个季度还是这个体验，就直接换供应商，不是开玩笑的。
RAW017,用户访谈,我们希望能增加自定义仪表盘的功能，现在的模板太固定了，不适合我们业务。
RAW018,App评论,新版本更新后，好多功能找不到入口了，体验倒退。
RAW019,销售转述,客户说，如果我们能提供更灵活的付费方案，比如按用量计费，他们会更愿意续费。
RAW020,客服工单,续费入口在哪？找了半天没找到。
RAW021,微信群,AI生成的报告质量忽高忽低，不稳定，不敢直接用。
RAW022,用户访谈,那个什么功能，我之前用……（被打断）
RAW023,客户成功,客户B的账户一直没激活，说是收不到验证邮件，让帮忙看看。
RAW024,问卷,还行，就是有点贵。
RAW025,老板转述,下面的人反应，系统太复杂，培训成本高，新人上手慢。
RAW026,销售转述,销售反馈，好几个意向客户都在问能不能给个试用期更长一点，7天不够评估。上次开会的时候，产品总监也提了这个问题，说竞品在这方面做得好很多，我们要加快迭代速度，不然客户都跑了。
RAW027,客服工单,报表导出格式乱，表格错位，根本没法用。
RAW028,微信群,这系统是不是要挂了？下午到现在一直闪退。
RAW029,用户访谈,我理解你们想推AI功能，但基础功能得先稳定啊，别老崩。
RAW030,App评论,垃圾软件，卸载了！
RAW031,客服工单,为什么我邀请的团队成员收不到邀请链接？
RAW032,运营记录,市场部反馈，最近几个展会带来的线索，在CRM里跟进状态不清晰。
RAW033,销售转述,客户C觉得我们的BI工具可视化图表种类太少，不如竞品丰富。
RAW034,微信群,续费有点贵啊，隔壁老王用的那个便宜多了。
RAW035,用户访谈,这个功能挺好的，帮我们省了不少事，就是反应慢了点。
RAW036,问卷,希望能支持更多的数据源接入。具体来说，就是那个数据同步的功能，经常出现延迟，有时候早上导的数据到下午才能看到，太慢了。
RAW037,客服工单,登陆验证码一直显示错误，换了浏览器也不行。
RAW038,老板转述,技术那边说，咱这个内部审批系统，流程能不能自定义？现在太死板了。
RAW039,销售转述,客户说，你们那个“智能推荐”老是推一些我们根本不用的功能，有点烦。
RAW040,微信群,@客服 小编 在吗？我账号怎么登不上去了，急！
RAW041,用户访谈,说实话，用了一年，感觉对我们业务的提升没有达到预期，特别是转化率这块。
RAW042,客服工单,价格，太，贵，了。
RAW043,问卷,界面设计很清爽，点赞。
RAW044,App评论,AI帮我自动生成周报，效率神器！不过偶尔有点智障。
