raw_id,source,raw_text
RAW001,客服工单,价格太高了，续不起。
RAW002,销售转述,销售说客户觉得性价比不高。
RAW003,客户成功,功能缺这缺那，不好用。
RAW004,用户访谈,系统经常崩溃，影响工作。
RAW005,问卷,支持响应太慢。
RAW006,App评论,续约流程太繁琐。
RAW007,邮件反馈,数据迁移出错。
RAW008,季度回顾会议记录,培训材料太少。
RAW009,NPS评论,X产品功能更全。
RAW010,客服工单,费用涨得离谱，不划算。
RAW011,销售转述,需求不匹配，很多功能用不上。
RAW012,客户成功,加载速度太慢。
RAW013,用户访谈,客服态度差。
RAW014,问卷,合同条款不清晰。
RAW015,App评论,集成其他系统困难。
RAW016,邮件反馈,上手太难，需要长时间学习。
RAW017,季度回顾会议记录,竞品价格更低。
RAW018,NPS评论,合规要求变化，产品不满足。
RAW019,客服工单,今天天气不错。
RAW020,销售转述,这产品太棒了！
RAW021,客户成功,无所谓，领导决定。
RAW022,用户访谈,续约价格能不能打个折？
RAW023,问卷,销售转述客户需要定制功能。
RAW024,App评论,客服说系统升级后问题多。
RAW025,邮件反馈,问题解决不及时。
RAW026,季度回顾会议记录,自动续约设置有问题。
RAW027,NPS评论,迁移后数据不准确。
RAW028,客服工单,培训课程不实用。
RAW029,销售转述,Y服务更好。
RAW030,客户成功,安全漏洞多。
RAW031,用户访谈,用起来挺方便的。
RAW032,问卷,客服很耐心。
RAW033,App评论,系统稳定，支持好。
RAW034,邮件反馈,别续约了，没用。
RAW035,季度回顾会议记录,功能齐全，满足需求。
RAW036,NPS评论,价格合理，服务好。
RAW037,客服工单,反馈一下，产品不错。
RAW038,销售转述,我们预算有限，价格是关键。
RAW039,客户成功,新功能开发太慢。
RAW040,用户访谈,高峰期系统卡顿。
RAW041,问卷,支持渠道少。
RAW042,App评论,合同变更困难。
RAW043,邮件反馈,迁移工具不好用。
RAW044,季度回顾会议记录,新用户引导差。
RAW045,NPS评论,行业趋势是用Z系统。
RAW046,客服工单,公司策略调整，不需要了。
RAW047,销售转述,系统老崩溃，咋用？
RAW048,客户成功,功能不够用，缺个报表。
RAW049,用户访谈,客服响应太慢。
RAW050,问卷,续约流程好麻烦。
RAW051,App评论,数据迁移出问题了。
RAW052,邮件反馈,培训没跟上，不会用。
RAW053,季度回顾会议记录,还不如用X产品。
RAW054,NPS评论,系统慢而且支持差，真烦人。
RAW055,客服工单,这产品太垃圾了！
RAW056,销售转述,用起来挺顺手的。
RAW057,客户成功,支持团队很给力。
