raw_id,source,raw_text
RAW001,IT工单,系统加载时间太长，影响工作效率。
RAW002,员工反馈,工具响应慢，尤其是高峰期。
RAW003,部门经理转述,经理说团队抱怨系统卡顿，需要优化。
RAW004,内部问卷,效率工具还行，但偶尔会延迟。
RAW005,系统日志分析,日志显示多次超时错误，需检查服务器。
RAW006,IT工单,系统慢死了，每次提交都要等半天。
RAW007,员工反馈,响应时间太长，耽误工作。
RAW008,部门经理转述,部门反馈说系统效率低，影响进度。
RAW009,内部问卷,工具速度一般，有时快有时慢。
RAW010,系统日志分析,CPU使用率高，可能导致延迟。
RAW011,IT工单,系统响应延迟，急需解决。
RAW012,员工反馈,加载页面要好几分钟，太慢了。
RAW013,部门经理转述,经理提到员工反映效率工具不高效。
RAW014,内部问卷,效率提升不明显，有时反拖后腿。
RAW015,系统日志分析,网络延迟高，影响系统响应。
RAW016,IT工单,系统崩溃频繁，效率大打折扣。
RAW017,员工反馈,工具速度慢，得耐心等。
RAW018,部门经理转述,团队说系统效率需要改进。
RAW019,内部问卷,效率一般，比预期差。
RAW020,系统日志分析,数据库查询慢，导致系统卡顿。
RAW021,IT工单,系统响应时间超过10秒，无法接受。
RAW022,员工反馈,每次使用都感觉慢，效率低。
RAW023,部门经理转述,经理转述说系统效率是最大痛点。
RAW024,内部问卷,工具效率有提升空间。
RAW025,系统日志分析,日志分析显示频繁超时，需优化。
RAW026,IT工单,这个工具成本太高，公司预算有限。
RAW027,员工反馈,降本效果不明显，费用还是高。
RAW028,部门经理转述,经理说工具费用超支，需要控制成本。
RAW029,内部问卷,成本方面，工具性价比一般。
RAW030,系统日志分析,日志显示资源使用率高，成本增加。
RAW031,IT工单,工具太贵了，得找更便宜的替代。
RAW032,员工反馈,降本没达到预期，浪费钱。
RAW033,部门经理转述,部门反馈成本降不下来，工具收费高。
RAW034,内部问卷,成本管理需要加强，工具费用不菲。
RAW035,系统日志分析,服务器成本上升，需评估工具经济性。
RAW036,IT工单,费用太高，建议优化或更换。
RAW037,员工反馈,工具帮助省了点钱，但整体成本还高。
RAW038,部门经理转述,经理提到成本控制是挑战。
RAW039,内部问卷,降本效果有限，需要更多措施。
RAW040,系统日志分析,分析显示维护成本高。
RAW041,IT工单,工具成本超出预算，急需解决。
RAW042,员工反馈,感觉没怎么省钱，工具收费高。
RAW043,部门经理转述,团队说成本降本方面工具表现差。
RAW044,内部问卷,成本压力大，工具性价比低。
RAW045,系统日志分析,资源消耗导致成本增加。
RAW046,IT工单,工具难用，员工学习曲线陡。
RAW047,员工反馈,界面不友好，操作复杂。
