feedback_id,source,user_role,product_area,feedback_text,created_at
FB00001,sales,HR主管,API接口,"续费看板金额和明细对不上，差了大概26万",2026-06-25
FB00002,appstore,HR主管,API接口,"导出的字段顺序每次都不固定，能不能固定下来",2026-05-31
FB00003,survey,数据分析师,通知系统,"希望能导出 PDF 格式的报告，客户需要正式文档",2026-06-19
FB00004,in-app,数据分析师,API接口,"数据分析页面加载太慢了，27秒都打不开",2026-06-27
FB00005,survey,CEO,移动端,"权限配置太复杂，新来的同事13天都搞不定",2026-06-06
FB00006,in-app,客户成功,仪表盘,"移动端看板显示不全，iPhone上排版错乱",2026-06-12
FB00007,survey,市场总监,数据分析,"API 返回的数据格式和文档不一致",2026-06-09
FB00008,survey,客户成功,仪表盘,"搜索功能经常搜不到想要的结果",2026-06-05
FB00009,in-app,技术负责人,用户管理,"仪表盘的图表类型太少了，缺少漏斗图",2026-06-06
FB00010,interview,数据分析师,API接口,"通知太多太频繁，希望能自定义规则",2026-06-22
FB00011,support,市场总监,移动端,"报表刷新后数据没有更新，需要手动清理缓存",2026-06-13
FB00012,support,销售经理,BI报表,"用户分群的条件设置不够灵活",2026-06-22
FB00013,support,财务经理,仪表盘,"漏斗分析的转化率计算好像有问题",2026-06-11
FB00014,survey,财务经理,移动端,"自定义指标的公式编辑器不好用",2026-06-03
FB00015,appstore,财务经理,BI报表,"数据导入的时候没有错误提示，导入完了才发现少数据",2026-06-22
FB00016,in-app,数据分析师,仪表盘,"希望能支持定时发送报表到邮箱",2026-06-11
FB00017,sales,财务经理,移动端,"多语言支持不够完善，英文界面有翻译错误",2026-06-18
FB00018,support,销售经理,数据分析,"数据权限设置太粗，不能按部门隔离",2026-06-21
FB00019,survey,产品经理,仪表盘,"报表模板太少，每次都得从头做",2026-06-21
FB00020,survey,市场总监,权限配置,"实时数据更新延迟太高，11分钟才刷新一次",2026-06-09
FB00021,support,数据分析师,导出功能,"客户反馈渠道分散，汇总太麻烦",2026-06-26
FB00022,interview,销售经理,数据分析,"竞品分析模块数据来源不够权威",2026-06-10
FB00023,interview,销售经理,BI报表,"NPS 评分趋势图时间范围选择不灵活",2026-06-10
FB00024,in-app,HR主管,通知系统,"客户画像标签体系不够完善",2026-06-22
FB00025,support,CEO,移动端,"工单分配逻辑不透明，经常分配错人",2026-06-17
FB00026,community,财务经理,仪表盘,"SLA 超时预警不及时",2026-06-24
FB00027,community,HR主管,数据分析,"知识库搜索结果排序不合理",2026-06-24
FB00028,support,技术负责人,用户管理,"客户生命周期阶段定义不够清晰",2026-06-07
FB00029,appstore,运营负责人,搜索功能,"自动化工作流配置门槛太高",2026-06-07
FB00030,survey,HR主管,导出功能,"报表分享链接过期时间太短",2026-06-04
FB00031,interview,市场总监,仪表盘,"数据看板不能嵌入到我们自己的系统里",2026-06-11
FB00032,community,HR主管,导出功能,"A/B 测试结果分析维度不够",2026-06-09
