raw_id,source,raw_text
RAW001,App评论,注册页面加载了得有半分钟，我网络没问题啊。
RAW002,客服工单,验证码发不到我手机上，换了好几次了。
RAW003,问卷,流程太多了，注册个东西要填五六页信息。
RAW004,邮件反馈,收到邀请邮件，点进去链接显示已失效，无法加入团队。
RAW005,用户访谈,我同事说这个东西挺好用的，但我就卡在第一步了，注册不了。
RAW006,NPS评论,功能很强，就是新用户引导做得太差了，我自己摸索了半天。
RAW007,销售转述,客户反馈说，我们的产品设置初始配置对非技术人员太不友好了，他们搞不懂那些集成选项。
RAW008,客服工单,密码重置邮件根本没反应，点了链接还是在原页面。
RAW009,App评论,终于进去了，界面真漂亮。
RAW010,问卷,新手引导视频能不能快进？太长了。
RAW011,用户访谈,我们团队想把老数据迁进来，导入工具一直报错，文档里的方法试了没用。
RAW012,邮件反馈,邀请码在哪里输？注册流程里根本没地方填。
RAW013,销售转述,用户说，首次使用时想创建个报表，但完全不知道从哪里开始点，引导消失了。
RAW014,NPS评论,没什么感觉，用起来一般般。
RAW015,客服工单,我从你们App评论里来的，也是登录收不到验证码，安卓手机。
RAW016,问卷,文档太旧了，截图和现在的界面都不一样。
RAW017,用户访谈,那个‘立即开始’按钮点了没反应，是不是bug？
RAW018,App评论,好。
RAW019,邮件反馈,您好，我司需要采购，但销售给的演示账号登录不上，提示权限不足，请核实。
RAW020,NPS评论,解决了我的大问题，上手之后效率提升很明显。
RAW021,客服工单,为什么我邀请的成员看不到我设置的共享文件夹？权限设置太复杂了看不懂。
RAW022,问卷,第一次用，系统自动帮我生成的那个默认项目模板挺有用的。
RAW023,销售转述,客户抱怨说，为了完成一个简单的初始配置，要翻好几个页面，而且每个选项都有很长的说明，看得头晕。
RAW024,用户访谈,我按着引导文档一步一步来的，到第三步就卡住了，描述和实际按钮对不上。
RAW025,App评论,加载转圈圈，等不及了，卸载。
RAW026,邮件反馈,我把邀请链接发给同事，他点了之后说我司账号数量已达上限，可我们明明刚买。
RAW027,NPS评论,注册时选行业分类，为什么没有‘教育’这个选项？
RAW028,客服工单,二次验证太麻烦了，每次登录都要，能不能默认信任我的设备？
RAW029,问卷,注册流程太快了，喜欢。
RAW030,用户访谈,作为团队管理员，我想调整新成员的默认权限，找了半天没找到入口，文档里也没写清楚。
RAW031,销售转述,用户试用后表示，产品本身不错，但初期设置和导入历史数据的过程非常痛苦，差点放弃。
RAW032,App评论,提示我‘帐号已存在’，但我根本没注册过！用邮箱找回密码也说没这个帐号。
RAW033,邮件反馈,邀请邮件被当成垃圾邮件了，差点错过。
RAW034,NPS评论,帮助中心搜索功能很好用，搜‘如何新建’就有答案。
RAW035,客服工单,登录后一直转圈，进不去主页，清缓存重启都没用。
RAW036,问卷,第一次使用就要绑定那么多第三方服务，有点吓人。
RAW037,用户访谈,他们说的‘工作区’和‘项目’是什么关系？注册时让我选，我完全不懂区别。
RAW038,App评论,创建第一个任务时，页面卡死了，数据没保存，白填了。
RAW039,邮件反馈,你们产品在不同浏览器上登录行为不一致，Chrome能登，Safari就不行。
RAW040,销售转述,客户提到了，邀请新成员时，如果对方公司有域名邮箱限制，我们的系统处理得不好，经常误判。
RAW041,客服工单,文档是PDF的，在手机上看不了，有网页版吗？
RAW042,NPS评论,9分，少1分是怕你们骄傲。上手比想象中容易。
RAW043,问卷,跳过新手引导后，就不知道去哪找那个引导了。
RAW044,用户访谈,我喜欢它简洁的设计，但有些功能藏得太深，需要点好几层才能找到。
RAW045,App评论,垃圾软件，注册都注册不了。
RAW046,邮件反馈,我们换了企业邮箱域名，导致之前邀请的成员全部无法登录，这个处理机制有问题。
RAW047,客服工单,重设密码后，旧密码还是能登录，这安全吗？
RAW048,问卷,初始配置里的‘智能推荐’挺准的，帮我选了合适的模块。
RAW049,销售转述,用户反馈，他们团队第一次协作时，因为权限没配对，导致A同事误删了B同事的文件。
RAW050,用户访谈,那个实时预览功能很棒，配置的时候能马上看到效果，学习成本低了不少。
RAW051,App评论,上传头像总是失败，提示格式错误，但我用的是JPG啊。
RAW052,邮件反馈,请问试用期结束后，数据怎么导出？文档里写得太模糊了。
RAW053,NPS评论,还行吧，就是注册时手机验证码老是延迟。
RAW054,客服工单,我按照文档配置API密钥，一直返回403错误，权限检查了好多遍。
RAW055,问卷,注册流程中‘公司信息’非得现在填吗？我先想试试个人功能。
RAW056,用户访谈,界面语言选了中文，但有些按钮的Tooltip提示还是英文的。
RAW057,App评论,加载速度比上个月快多了！
RAW058,邮件反馈,你们发的激活邮件，标题是‘请激活您的账号’，正文第一句又是‘欢迎注册’，让人困惑，到底点哪个链接？
RAW059,销售转述,客户提到，产品上手之后确实好用，但前期设置期间，客服响应有点慢，问题解决就么了。
RAW060,客服工单,我邀请的人点了链接没反应，是不是你们服务器又挂了？
RAW061,问卷,新手任务完成后的成就徽章，挺有动力的。
RAW062,用户访谈,一开始看到那么多功能模块有点懵，不过跟着引导做完一个简单案例就明白大概了。
RAW063,App评论,更新后第一次登录，让我重新设置密码，啥情况？
RAW064,邮件反馈,我想批量邀请同事，文档说支持，但找遍了没看到批量导入的入口。
RAW065,NPS评论,文档写得像天书。
RAW066,客服工单,我注册用的邮箱拼错了，现在想改，个人资料里改不了邮箱，怎么处理？
RAW067,问卷,从注册到完成第一个核心功能使用，花了大概2小时，有点长。
RAW068,销售转述,用户体验官反馈，初始配置的向导流程每一步都很清晰，特别是解释了每个选项的意义，很棒。
RAW069,用户访谈,有点儿懵，这个‘子账号’和‘席位’是一回事吗？购买页面和文档的叫法不一样。
RAW070,App评论,支持！
RAW071,邮件反馈,提示我‘系统检测到异常登录’，但我只是换了个电脑而已，验证流程太繁琐。
RAW072,客服工单,邀请成员后，他那边一直显示‘处理中’，都过一天了。
RAW073,问卷,希望引导文档里能多一些视频教程，纯文字看不进去。
RAW074,NPS评论,客服人员很耐心地指导我完成了第一次配置，加分。
RAW075,用户访谈,我帮我妈注册的，她反映说那个密码强度要求太高，记不住。
RAW076,App评论,页面好看，但按钮太小了，手指粗的根本点不准。
RAW077,邮件反馈,试用账号的权限和正式账号有区别吗？文档没说明白，导致我按试用时的做法，正式用时报错。
RAW078,客服工单,我靠，我注册时选的免费版，怎么引导我买付费功能？太 annoying 了。
RAW079,问卷,第一次导入数据失败了，但错误信息只说‘失败’，不说原因。
RAW080,销售转述,有位客户特别表扬了我们的产品在手机端的首次体验，他认为引导做得很好，移动端适配是加分项。
RAW081,用户访谈,我把工作区设置成了私有，但忘了，后来邀请同事时他怎么也加不进来，排查了好久。
RAW082,App评论,求更新文档！
RAW083,邮件反馈,为什么我分享的公开链接，别人打开还需要登录才能看？这算哪门子公开。
RAW084,NPS评论,产品不错，希望在易用性上多下功夫。
RAW085,客服工单,验证码，又是验证码，一天收不到三次验证码了，你们短信通道有问题吧。
RAW086,问卷,系统在初始化时推荐的插件都挺实用的，省得我自己找了。
RAW087,用户访谈,我们公司老人带新人，新人上手很快，因为有清晰的引导步骤，老人也省心。
RAW088,App评论,注册成功后自动登录了，但没有任何提示，我还在等邮件。
RAW089,邮件反馈,邀请链接中的‘过期时间’能不能自己设置？默认7天太短了。
RAW090,销售转述,用户吐槽说，他给客户演示时，演示环境加载特别慢，给客户的第一印象不好。
RAW091,客服工单,我登录后，被强制跳转到了一个我不熟悉的旧版界面，怎么切回去？
RAW092,问卷,感觉文档是给开发者看的，对我们这种业务用户不太友好。
RAW093,NPS评论,注册流程的最后一步，让我订阅新闻邮件，选项是默认勾选的，不喜欢。
RAW094,用户访谈,我理解权限是为了安全，但对于我们小团队来说，默认的严格权限反而影响了协作效率。
RAW095,App评论,连续三天，登录后频繁掉线，体验极差。
RAW096,邮件反馈,我把同事从团队移除了，但他好像还能用之前的链接访问数据？请确认。
RAW097,客服工单,文档链接点了是404。
RAW098,问卷,快捷键设置引导做得很好，一学就会。
RAW099,销售转述,有位潜在客户在对比产品时，专门提到我们的初始配置比A产品简单很多，这是一个卖点。
RAW100,用户访谈,你们这个‘沙盒环境’是干嘛的？新手引导里没解释，我不敢随便点。
RAW101,App评论,一般。
RAW102,邮件反馈,我邀请的外部用户（没有我们公司邮箱）收不到邀请邮件，怎么解决？
RAW103,NPS评论,从注册到我做出第一个有内容的项目，只用了半小时，很顺畅。
RAW104,客服工单,初始化设置时，我手滑选错了时区，现在所有时间显示都不对，怎么改？
RAW105,问卷,希望登录页面能支持微信扫码。
RAW106,用户访谈,你们那个交互式教程真的帮了大忙，让我这个技术小白也能把系统配起来。
RAW107,App评论,第一次登录就遇到服务器错误，502。
RAW108,邮件反馈,关于权限继承的文档写得不清楚，子文件夹的权限到底跟父文件夹一样还是需要单独设置？
RAW109,销售转述,客户抱怨邀请流程，说他复制链接发给同事后，同事那边浏览器不兼容，打不开。
RAW110,客服工单,我密码里带个特殊符号‘*’，登录时总是报错，是不让用这个字符吗？
RAW111,问卷,推荐！
RAW112,NPS评论,新版本的引导流程比旧版直观太多了。
RAW113,用户访谈,我是通过SSO单点登录的，但你们产品内部有些功能又要求我设置独立密码，好麻烦。
RAW114,App评论,个人资料页面加载不出来，一片空白。
RAW115,邮件反馈,我们想在使用前先了解完整功能清单，但文档目录里只有罗列，没有详细说明每个功能是做什么的。
RAW116,客服工单,我邀请了成员，他也接受了，但在团队成员列表里看不到他？
RAW117,问卷,注册时填的手机号，后面好像没什么用，可以不填吗？
RAW118,销售转述,他说加载确实慢，尤其是在他那边网络不好的时候，图片资源太多。
