raw_id,source,raw_text
RAW001,客服工单,你们那个AI生成的报告，结构乱七八糟，关键数据还会算错，这让我怎么用？能不能优化下？
RAW002,App评论,推荐的都是啥啊，完全不是我想要的，浪费我时间。
RAW003,用户访谈,我觉得它的回答有时候会前后矛盾，特别是问到一些专业知识的时候，感觉像在瞎编，幻觉有点严重。
RAW004,问卷,回复速度忽快忽慢，体验不稳定。
RAW005,NPS评论,AI客服根本解决不了实际问题，来来回回就那几句话，最后还得转人工，浪费好多时间。
RAW006,社区反馈,用着用着就提醒我用量快到了，但具体哪些功能耗了多少根本不清楚，配额管理太不透明了。
RAW007,客服工单,对数据安全还是有点担心，虽然你们说不会用我的数据训练，但具体怎么保障的能详细说下吗？
RAW008,App评论,这AI咋老抽风？有时候回复巨慢。
RAW009,用户访谈,它写出来的营销文案，语法没问题，但读起来就是一股‘AI味’，不生动，缺乏人情味，根本没法直接给客户用。
RAW010,问卷,推荐算法有问题。
RAW011,NPS评论,幻觉！上次问它一个历史事件的时间，它给的答案比正确答案晚了一百年，离谱。
RAW012,社区反馈,配额用完之后，连基础功能也用不了了？这设计太不合理了。
RAW013,客服工单,AI输出的内容经常有事实性错误，比如把产品A的规格安到产品B上，这要是发布出去可是重大事故。
RAW014,App评论,客服转人工排队太久了，等了半小时还没接上。
RAW015,用户访谈,我就是希望推荐能更准一点，现在推的东西我八成都用不上，好像它根本没搞懂我的使用习惯。
RAW016,问卷,数据上传后有点不放心，能提供更明确的隐私条款说明吗？
RAW017,NPS评论,速度太慢了，一个问题要等好几秒才出结果，效率很低。
RAW018,社区反馈,这个AI客服就是个复读机，一直重复‘我理解您的问题’，然后给出一些无关的帮助文档链接。
RAW019,客服工单,为什么用量统计里显示我某个功能用了很多次，但我实际并没有用过？是不是数据统计有Bug？
RAW020,App评论,不错，帮我节省了很多整理资料的时间。
RAW021,用户访谈,那个推荐系统，真的，经常给我推一些完全不相干的内容，比如我明明在查技术文档，它给我推娱乐新闻，迷了。
RAW022,问卷,好用！
RAW023,NPS评论,AI生成的报告，表面看着挺唬人，仔细一查，里面引用的数据源根本不存在，这种幻觉太可怕了，得人工一道道核查。
RAW024,社区反馈,能不能让响应速度快点？尤其是在晚高峰时段，卡得不行。
RAW025,客服工单,输出质量时好时坏，同一个提示词，今天生成得挺好，明天生成得就完全没法看，一致性太差了。
RAW026,App评论,配额不够用啊，免费额度太少了。
RAW027,用户访谈,我问它一个专业法律问题，它回答得头头是道，还引用了几个案例，结果我一查，案例编号都是它自己编的，这种‘自信的幻觉’比直接说不知道更误导人。
RAW028,问卷,客服响应很及时，解决问题也专业。
RAW029,NPS评论,推荐！这个功能帮了大忙。
RAW030,社区反馈,用这产品，我的数据到底安全吗？会不会被你们拿去喂其他模型？心里有点没底。
RAW031,客服工单,让AI帮我写个周报，它能把我的工作内容夸得天花乱坠，但完全偏离了事实，这种‘过度优化’的输出没法交差啊。
RAW032,App评论,这AI客服一点用都没有。
RAW033,用户访谈,推荐准确性不行，感觉推荐算法太死板了，基于我很久以前的历史记录，我现在的兴趣早变了。
RAW034,问卷,响应速度一般吧，能接受但希望能更快。
RAW035,NPS评论,关于用量，付费套餐的档位设置感觉不太合理，中间档的额度对我这种中度用户来说有点尴尬，要么不够，要么浪费。
RAW036,社区反馈,求求你们加强一下对用户上传的文件内容的隐私保护吧，虽然我知道条款里写了，但还是希望技术上能有更多保障措施。
RAW037,客服工单,生成的一段营销文案，里面竟然提到了竞争对手的名字，而且是正面评价，这…这幻觉也太离谱了吧？
RAW038,App评论,推荐的东西经常不准，但偶尔也有惊喜。
RAW039,用户访谈,整体体验还行，就是觉得AI输出的质量波动太大了，不稳定，需要我花更多时间去修改和审核。
RAW040,问卷,配额用完后提醒不够及时。
